municipio,microregiao,mesorregiao
Porto Alegre,Porto Alegre,Metropolitana
Caxias do Sul,Caxias do Sul,Nordeste
Canoas,Porto Alegre,Metropolitana
Pelotas,Pelotas,Sudeste
Santa Maria,Santa Maria,Centro Ocidental
Gravataí,Porto Alegre,Metropolitana
Viamão,Porto Alegre,Metropolitana
Novo Hamburgo,Porto Alegre,Metropolitana
São Leopoldo,Porto Alegre,Metropolitana
Rio Grande,Litoral Lagunar,Sudeste
Alvorada,Porto Alegre,Metropolitana
Passo Fundo,Passo Fundo,Noroeste
Sapucaia do Sul,Porto Alegre,Metropolitana
Santa Cruz do Sul,Santa Cruz do Sul,Centro Oriental
Cachoeirinha,Porto Alegre,Metropolitana
Uruguaiana,Campanha Ocidental,Sudoeste
Bagé,Campanha Meridional,Sudoeste
Bento Gonçalves,Caxias do Sul,Nordeste
Erechim,Erechim,Noroeste
Guaíba,Porto Alegre,Metropolitana
Lajeado,Lajeado-Estrela,Centro Oriental
Ijuí,Ijuí,Noroeste
Esteio,Porto Alegre,Metropolitana
Cachoeira do Sul,Cachoeira do Sul,Centro Oriental
Sapiranga,Porto Alegre,Metropolitana
Santo Ângelo,Santo Ângelo,Noroeste
Sant'ana do Livramento,Campanha Central,Sudoeste
Alegrete,Campanha Ocidental,Sudoeste
Santa Rosa,Santa Rosa,Noroeste
Farroupilha,Caxias do Sul,Nordeste
Venâncio Aires,Santa Cruz do Sul,Centro Oriental
Campo Bom,Porto Alegre,Metropolitana
Camaquã,Camaquã,Metropolitana
Vacaria,Vacaria,Nordeste
Montenegro,Montenegro,Metropolitana
Carazinho,Carazinho,Noroeste
São Gabriel,Campanha Central,Sudoeste
Cruz Alta,Cruz Alta,Noroeste
São Borja,Campanha Ocidental,Sudoeste
Parobé,Porto Alegre,Metropolitana
Taquara,Gramado-Canela,Metropolitana
Canguçu,Pelotas,Sudeste
Capão da Canoa,Osório,Metropolitana
Tramandaí,Osório,Metropolitana
Estância Velha,Porto Alegre,Metropolitana
Santiago,Santiago,Centro Ocidental
Osório,Osório,Metropolitana
Canela,Gramado-Canela,Metropolitana
Marau,Passo Fundo,Noroeste
Panambi,Ijuí,Noroeste
São Lourenço do Sul,Pelotas,Sudeste
Santo Antônio da Patrulha,Osório,Metropolitana
Eldorado do Sul,Porto Alegre,Metropolitana
Charqueadas,São Jerônimo,Metropolitana
Rosário do Sul,Campanha Central,Sudoeste
Torres,Osório,Metropolitana
Dom Pedrito,Campanha Meridional,Sudoeste
Rio Pardo,Cachoeira do Sul,Centro Oriental
Itaqui,Campanha Ocidental,Sudoeste
Portão,Montenegro,Metropolitana
Igrejinha,Gramado-Canela,Metropolitana
Gramado,Gramado-Canela,Metropolitana
